Artist,ML,Genre,SetLength,Current Day,Current Stage,NR
Ela Minus,150952,Dance/Electronic,40,Friday,Sonora,0.002286
Yard Act,206135,Alternative/Indie,30,Saturday,Sonora,0.003122
Mannequin Pussy,246489,Alternative/Indie,40,Saturday,Sonora,0.003733
black midi,281528,Alternative/Indie,50,Saturday,Sonora,0.004264
Code Orange,283270,Metal,40,Friday,Sonora,0.004291
Spiritualized,307656,Alternative/Indie,60,Friday,Sonora,0.004660
Beach Goons,404230,Rock,30,Saturday,Sonora,0.006123
Amyl & the Sniffers,421529,Rock,40,Friday,Sonora,0.006385
Altin Gun,460147,Alternative/Indie,40,Sunday,Sonora,0.006970
PUP,464737,Rock,40,Friday,Sonora,0.007039
The Chats,502188,Alternative/Indie,35,Friday,Sonora,0.007606
Carino,521252,Alternative/Indie,30,Sunday,Sonora,0.007895
Viagra Boys,630017,Alternative/Indie,40,Sunday,Sonora,0.009543
Skegss,640186,Alternative/Indie,40,Sunday,Sonora,0.009697
Nilufer Yanya,717269,Alternative/Indie,40,Saturday,Sonora,0.010864
Yola,762164,R&B/Soul,40,Sunday,Outdoor,0.011544
Jean Dawson,888455,Pop,35,Friday,Sonora,0.013457
Inner Wave,1158815,Alternative/Indie,40,Saturday,Sonora,0.017552
Run The Jewels,1448719,Hip-Hop/Rap,45,Sunday,Coachella,0.021943
The Hu,1517820,Rock,40,Friday,Outdoor,0.022990
Madeon,1547961,Dance/Electronic,55,Friday,Outdoor,0.023446
King Gizzard and the Lizard Wizard,1633191,Alternative/Indie,50,Friday,Outdoor,0.024737
Solomun,1780526,Dance/Electronic,60,Sunday,Outdoor,0.026969
Molchat Doma,2575047,Alternative/Indie,45,Saturday,Sonora,0.039003
Jamie xx,2612516,Dance/Electronic,60,Sunday,Outdoor,0.039571
Mariah the Scientist,2633205,R&B/Soul,35,Sunday,Outdoor,0.039884
Crumb,2656853,Alternative/Indie,40,Sunday,Sonora,0.040242
Danny Elfman,3192879,Pop,60,Saturday,Outdoor,0.048361
Princess Nokia,3598382,Hip-Hop/Rap,40,Friday,Coachella,0.054503
Louis the Child,3864772,Dance/Electronic,55,Friday,Outdoor,0.058538
Bishop Briggs,3882749,Alternative/Indie,45,Friday,Outdoor,0.058810
Koffee,4043968,Reggae,40,Saturday,Coachella,0.061252
Ari Lennox,4322821,R&B/Soul,45,Friday,Coachella,0.065476
Ed Maverick,5716882,Alternative/Indie,40,Saturday,Sonora,0.086591
Cuco,6021863,Alternative/Indie,50,Saturday,Outdoor,0.091210
Nathy Peluso,6111337,Hip-Hop/Rap,50,Sunday,Sonora,0.092566
Beach Bunny,6405623,Alternative/Indie,55,Saturday,Outdoor,0.097023
Maggie Rogers,6774122,Pop,45,Sunday,Coachella,0.102605
MIKA,6865868,Pop,45,Friday,Coachella,0.103994
Masego,6905373,R&B/Soul,50,Saturday,Coachella,0.104593
Wallows,7485142,Alternative/Indie,45,Saturday,Outdoor,0.113374
88rising,7550276,Hip-Hop/Rap,80,Saturday,Coachella,0.114361
FINNEAS,7821278,Pop,45,Sunday,Outdoor,0.118465
Chelsea Cutler,7849715,Pop,40,Saturday,Outdoor,0.118896
Surf Curse,8782918,Alternative/Indie,40,Sunday,Coachella,0.133031
Pheobe Bridgers,8815601,Alternative/Indie,60,Friday,Outdoor,0.133526
Eyedress,9320271,Alternative/Indie,40,Sunday,Sonora,0.141170
NIKI,9559591,R&B/Soul,45,Friday,Outdoor,0.144795
Flume,10493004,Dance/Electronic,60,Saturday,Coachella,0.158933
Stromae,10801371,Dance/Electronic,50,Saturday,Outdoor,0.163603
Omar Apollo,10912552,R&B/Soul,45,Friday,Outdoor,0.165288
Grupo Firme,13567887,Latin/Mexican,50,Friday,Coachella,0.205507
Disclosure,13785480,Dance/Electronic,75,Saturday,Outdoor,0.208802
Banda MS,14089863,Latin/Mexican,50,Sunday,Coachella,0.213413
Alec Benjamin,16331359,Alternative/Indie,40,Sunday,Outdoor,0.247364
Nicki Nicole,21266520,Latin/Mexican,40,Saturday,Sonora,0.322114
Swedish House Mafia x The Weekend,22097923,Dance/Electronic,80,Sunday,Coachella,0.334707
Daniel Caesar,22338982,R&B/Soul,45,Friday,Coachella,0.338358
Conan Gray,23226559,Pop,45,Saturday,Coachella,0.351802
Megan Thee Stallion,24102526,Hip-Hop/Rap,45,Saturday,Coachella,0.365070
Anitta,24331642,Latin/Mexican,45,Friday,Coachella,0.368540
Giveon,25248518,R&B/Soul,45,Saturday,Coachella,0.382428
Joji,28658169,R&B/Soul,50,Sunday,Outdoor,0.434072
Lil Baby,30531818,Hip-Hop/Rap,45,Friday,Coachella,0.462452
Billie Eilish,51361664,Pop,80,Saturday,Coachella,0.777952
Doja Cat,52088386,Hip-Hop/Rap,60,Sunday,Coachella,0.788959
Karol G,53604148,Latin/Mexican,50,Sunday,Coachella,0.811918
Harry Styles,66021640,Pop,80,Friday,Coachella,1.000000
